type,family,virus name,mutation_rate,rate_type,study,regions_used
(+)ssRNA,Astroviridae ,Human astrovirus ,0.0103,synonymous,Hanada et al. (2004),whole genome
(+)ssRNA,Caliciviridae ,Rabbit hemorrhagic disease virus ,0.00828,synonymous,Hanada et al. (2004),whole genome
(+)ssRNA,Caliciviridae ,Human calicivirus ,0.00382,synonymous,Hanada et al. (2004),whole genome
(+)ssRNA,Caliciviridae ,Feline calicivirus ,0.00464,synonymous,Hanada et al. (2004),whole genome
(+)ssRNA,Caliciviridae ,Hepatitis E virus ,0.00523,synonymous,Hanada et al. (2004),whole genome
(+)ssRNA,Flaviviridae ,Dengue virus ,0.00242,synonymous,Hanada et al. (2004),whole genome
(+)ssRNA,Flaviviridae ,Yellow fever virus ,0.00119,synonymous,Hanada et al. (2004),whole genome
(+)ssRNA,Flaviviridae ,Japanese encephalitis virus ,0.000631,synonymous,Hanada et al. (2004),whole genome
(+)ssRNA,Flaviviridae ,Tick-borne encephalitis virus ,0.000491,synonymous,Hanada et al. (2004),whole genome
(+)ssRNA,Flaviviridae ,Bovine viral diarrhea virus ,0.00234,synonymous,Hanada et al. (2004),whole genome
(+)ssRNA,Flaviviridae ,Hepatitis C virus ,0.000751,synonymous,Hanada et al. (2004),whole genome
(+)ssRNA,Flaviviridae ,GB virus C/hepatitis G virus ,0.000000135,synonymous,Hanada et al. (2004),whole genome
(+)ssRNA,Picornaviridae ,Foot-and-mouth disease virus ,0.00829,synonymous,Hanada et al. (2004),whole genome
(+)ssRNA,Picornaviridae ,Human enterovirus A ,0.01,synonymous,Hanada et al. (2004),whole genome
(+)ssRNA,Picornaviridae ,Human enterovirus B ,0.00365,synonymous,Hanada et al. (2004),whole genome
(+)ssRNA,Picornaviridae ,Human poliovirus ,0.0256,synonymous,Hanada et al. (2004),whole genome
(+)ssRNA,Picornaviridae ,Swine vesicular disease virus ,0.00295,synonymous,Hanada et al. (2004),whole genome
(+)ssRNA,Picornaviridae ,Human hepatitis A virus ,0.0013,synonymous,Hanada et al. (2004),whole genome
(+)ssRNA,Togaviridae ,Eastern equine encephalitis virus ,0.000325,synonymous,Hanada et al. (2004),whole genome
(+)ssRNA,Togaviridae ,Rubella virus ,0.00264,synonymous,Hanada et al. (2004),whole genome
(+)ssRNA,Coronaviridae ,Bovine coronavirus,0.0012,synonymous,Hanada et al. (2004),whole genome
(+)ssRNA,Arteriviridae,Porcine reproductive and respiratory syndrome virus ,0.0621,synonymous,Hanada et al. (2004),whole genome
(+)ssRNA,Arteriviridae,Equine arteritis virus ,0.0052,synonymous,Hanada et al. (2004),whole genome
(-)ssRNA,Arenaviridae ,Junin virus,0.00506,synonymous,Hanada et al. (2004),whole genome
(-)ssRNA,Bunyaviridae ,Puumala virus ,0.0000521,synonymous,Hanada et al. (2004),whole genome
(-)ssRNA,Bunyaviridae ,Crimean-Congo hemorrhagic fever virus ,0.00123,synonymous,Hanada et al. (2004),whole genome
(-)ssRNA,Bunyaviridae ,Cache Valley virus ,0.000845,synonymous,Hanada et al. (2004),whole genome
(-)ssRNA,Bunyaviridae ,Rift Valley fever virus ,0.00059,synonymous,Hanada et al. (2004),whole genome
(-)ssRNA,Paramyxoviridae,Bovine respiratory syncytial virus ,0.00217,synonymous,Hanada et al. (2004),whole genome
(-)ssRNA,Paramyxoviridae,Human metapneumovirus ,0.00243,synonymous,Hanada et al. (2004),whole genome
(-)ssRNA,Paramyxoviridae,Canine distemper virus ,0.00212,synonymous,Hanada et al. (2004),whole genome
(-)ssRNA,Paramyxoviridae,Measles virus ,0.00212,synonymous,Hanada et al. (2004),whole genome
(-)ssRNA,Paramyxoviridae,Humanparainfluenza virus ,0.0016,synonymous,Hanada et al. (2004),whole genome
