PT	UT	PM	DT	LT	TI	FT	AU	CA	BA	BE	PN	AE	DG	PC	PL	SO	SE	PY	PD	VL	IS	PS	BP	EP	LA	ME	CT	CL	CY	SP	AB	C1	EM	RI	OI	U1	U2	CR	NR	TC	Z9	PU	PA	SC	SN	EI	DI	BN	MC	CC	TA	DS	CH	GN	SD	GE	TM	MQ	PR	MI	OA	HC	HP	DA	
J	BCI:BCI202000833893	32668397			The landscape of persistent human DNA viruses in femoral bone		Toppinen, Mari; Pratas, Diogo; Vaisanen, Elina; Soderlund-Venermo, Maria; Hedman, Klaus; Perdomo, Maria F. (maria.perdomo@helsinki.fi) ; Sajantila, Antti (antti.sajantila@helsinki.fi)									Forensic Science International-Genetics		2020	SEP 2020	48		Article No.: 102353	102353								The imprints left by persistent DNA viruses in the tissues can testify to the changes driving virus evolution as well as provide clues on the provenance of modern and ancient humans. However, the history hidden in skeletal remains is practically unknown, as only parvovirus B19 and hepatitis B virus DNA have been detected in hard tissues so far. Here, we investigated the DNA prevalences of 38 viruses in femoral bone of recently deceased individuals. To this end, we used quantitative PCRs and a custom viral targeted enrichment followed by next generation sequencing. The data was analyzed with a tailor-made bioinformatics pipeline. Our findings revealed bone to be a much richer source of persistent DNA viruses than earlier perceived, discovering ten additional ones, including several members of the herpesand polyomavirus families, as well as human papillomavirus 31 and torque teno virus. Remarkably, many of the viruses found have oncogenic potential and/or may reactivate in the elderly and immunosuppressed individuals. Thus, their persistence warrants careful evaluation of their clinical significance and impact on bone biology. Our findings open new frontiers for the study of virus evolution from ancient relics as well as provide new tools for the investigation of human skeletal remains in forensic and archaeological contexts.				Pratas, Diogo/0000-0003-1176-552X; Perdomo, Maria Fernanda/0000-0002-9031-4251; Toppinen, Mari/0000-0002-1205-2399; Hedman, Klaus/0000-0003-1779-7960										1872-4973	1878-0326	10.1016/j.fsigen.2020.102353																		
J	BCI:BCI202000600473	32311431			Etiology and genetic evolution of canine coronavirus circulating in five provinces of China, during 2018-2019		He, Hai-Jian (hehaijian660108@126.com) ; Zhang, Wenyan (Wenyan__Zhang@163.com) ; Liang, Jiawei; Lu, Meng; Wang, Ruyi; Li, Gairu; He, Jia-Wei; Chen, Jun; Xing, Gang; Chen, Ye (fafuchenye@163.om)									Microbial Pathogenesis		2020	AUG 2020	145		Article No.: 104209	104209								As the outbreaks of COVID-19 in worldwide, coronavirus has once again caught the attention of people. Canine coronavirus is widespread among dog population, and sometimes causes even fatal cases. Here, to characterize the prevalence and evolution of current circulating canine coronavirus (CCoV) strains in China, we collected 213 fecal samples from diarrheic pet dogs between 2018 and 2019. Of the 213 samples, we found 51 (23.94%) were positive for CCoV. Co-infection with canine parvovirus (CPV), canine astrovirus (CaAstV), canine kobuvirus (CaKV), Torque teno canis virus (TTCaV) were ubiquitous existed. Mixed infection of different CCoV subtypes exists extensively. Considering the limited sequences data in recent years, we sequenced 7 nearly complete genomes and 10 complete spike gene. Phylogenetic analysis of spike gene revealed a new subtype CCoV-II Variant and CCoV-IIa was the most prevalent subtype currently circulating. Moreover, we identified strain B906_ZJ_2019 shared 93.24% nucleotide identifies with previous strain A76, and both of them clustered with CCoV-II Variant, which were not well clustered with the known subtypes. Recombination analysis of B906_ZJ_2019 indicated that strain B906_ZJ_2019 may a recombinant variant between CCoV-I and CCoV-II, which is consistent with strain A76. Furthermore, amino acid variations widely existed among current CCoV-IIa strains circulating in China and the classic CCoV-IIa strains, in spite of the unknown functions.In a word, we report a useful information as to the etiology and evolution of canine coronavirus in China based on the available sequences, which is urgent for the devise of future effective disease prevention and control strategies.														0882-4010		10.1016/j.micpath.2020.104209																		
J	BCI:BCI202000606116	32404273			Torque teno viruses in health and disease		Webb, Brett; Rakibuzzaman, A. G. M.; Ramamoorthy, Sheela (Sheela.ramamoorthy@ndsu.edu)									Virus Research		2020	AUG 2020	285		Article No.: 198013	198013								Torque teno viruses (TTVs) are small, ubiquitous, viruses with a highly diverse, single-stranded, negative sense DNA genome and wide host range. They are detected at high rates in both healthy and diseased individuals and are considered a significant part of the mammalian virome. Similar to human TTVs, swine TTVs (TTSuVs) are epidemiologically linked to several coinfections including porcine circovirus types 2 and 3 and the porcine reproductive and respiratory disease syndrome virus. Experimental infection of gnotobiotic pigs with TTSuVs resulted in lesions in multiple organs and exacerbation of coinfections, making TTSuVs the only members of the Anelloviridae family with experimental evidence for pathogenicity. However, due to the lack of reliable cell culture and animal models, mechanistic studies on viral immunity and pathogenesis are limited. The objective of this review is to summarize the current status of knowledge regarding the biology, detection, pathogenesis and public health significance of TTSuVs, while identifying gaps in knowledge which limit the field.				Rakibuzzaman, A G M/0000-0003-2780-8520										0168-1702	1872-7492	10.1016/j.virusres.2020.198013																		
J	BCI:BCI202000546169	32035977			Liver virome of healthy pigs reveals diverse small ssDNA viral genomes		Da Silva, M. S.; Budaszewski, R. F.; Weber, M. N.; Cibulski, S. P.; Paim, W. P.; Mosena, A. C. S.; Canova, R.; Varela, A. P. M.; Mayer, F. Q.; Pereira, C. W.; Canal, C. W. (claudio.canal@ufrgs.br)									Infection Genetics and Evolution		2020	JUL 2020	81		Article No.: 104203	104203								Brazil is a major exporter of pork meat worldwide. Swine liver is a common ingredient in food consumed by humans, thus emphasizing the importance of evaluating the presence of associated pathogens in swine liver. To obtain knowledge, this study aimed to provide insights into the viral communities of livers collected from slaughtered pigs from southern Brazil. The 46 livers were processed and submitted for high-throughput sequencing (HTS). The sequences were most closely related to Anelloviridae, Circoviridae and Parvoviridae families. The present work also describes the first Brazilian PCV1 and the first PPV6 and PPV7 from South America. Virus frequencies revelead 63% of samples positive for TTSuV1, 71% for TTSuVk2, 10.8% for PCV, 13% for PPV and 6% for PBov. This report addresses the diversity of the liver virome of healthy pigs and expands the number of viruses detected, further characterizing their genomes to assist future studies.			Canal, Claudio W./J-7253-2012; MAYER, FABIANA QUOOS/AAV-2264-2020	Canal, Claudio W./0000-0002-0621-243X; MAYER, FABIANA QUOOS/0000-0002-9324-8536; Weber, Matheus/0000-0001-8282-6778										1567-1348	1567-7257	10.1016/j.meegid.2020.104203																		
J	BCI:BCI202000558986	32493363			A tissue level atlas of the healthy human virome		Kumata, Ryuichi; Ito, Jumpei; Takahashi, Kenta; Suzuki, Tadaki; Sato, Kei (ksato@ims.u-tokyo.ac.jp)									BMC Biology		2020	JUN 4 2020	18	1	Article No.: 55	55								Background Human-resident microbes can influence both health and disease. Investigating the microbiome using next-generation sequencing technology has revealed examples of mutualism and conflict between microbes and humans. Comparing to bacteria, the viral component of the microbiome (i.e., the "virome") is understudied. Somatic tissues of healthy individuals are usually inaccessible for the virome sampling; therefore, there is limited understanding of the presence and distribution of viruses in tissues in healthy individuals and how virus infection associates with human gene expression and perturbs immunological homeostasis. Results To characterize the human virome in a tissue-specific manner, here we performed meta-transcriptomic analysis using the RNA-sequencing dataset from the Genotype-Tissue Expression (GTEx) Project. We analyzed the 8991 RNA-sequencing data obtained from 51 somatic tissues from 547 individuals and successfully detected 39 viral species in at least one tissue. We then investigated associations between virus infection and human gene expression and human disease onset. We detected some expected relationships; for instance, hepatitis C virus infection in the liver was strongly associated with interferon-stimulated gene upregulation and pathological findings of chronic hepatitis. The presence of herpes simplex virus type 1 in one subject's brain strongly associated with immune gene expression. While torque teno virus was detected in a broad range of human tissues, it was not associated with interferon responses. Being notable in light of its association with lymphoproliferative disorders, Epstein-Barr virus infection in the spleen and blood was associated with an increase in plasma cells in healthy subjects. Human herpesvirus 7 was often detected in the stomach; intriguingly, it associated with the proportion of human leukocytes in the stomach as well as digestive gene expression. Moreover, virus infections in the local tissues associated with systemic immune responses in circulating blood. Conclusions To our knowledge, this study is the first comprehensive investigation of the human virome in a variety of tissues in healthy individuals through meta-transcriptomic analysis. Further investigation of the associations described here, and application of this analytical pipeline to additional datasets, will be useful to reveal the impact of viral infections on human health.				Ito, Jumpei/0000-0003-0440-8321; Kumata, Ryuichi/0000-0002-6428-6357; Sato, Kei/0000-0003-4431-1380											1741-7007	10.1186/s12915-020-00785-5																		
J	BCI:BCI202000786808	31785090			A molecular epidemiological investigation of PEDV in China: Characterization of co-infection and genetic diversity of S1-based genes		Su, Mingjun; Li, Chunqiu; Qi, Shanshan; Yang, Dan; Jiang, Ning; Yin, Baishuang; Guo, Donghua; Kong, Fanzhi; Yuan, Dongwei; Feng, Li; Sun, Dongbo (dongbosun@126.com)									Transboundary and Emerging Diseases		2020	MAY 2020	67	3	1129-1140	1129	1140							Porcine epidemic diarrhoea virus (PEDV) is an emerging and re-emerging epizootic virus of swine that causes substantial economic losses to the pig industry in China and other countries. The variations in the virus, and its co-infections with other enteric viruses, have contributed to the poor control of PEDV infection. In the current study, a broad epidemiological investigation of PEDV was carried out in 22 provinces or municipalities of China during 2015-2018. The enteric viruses causing co-infection with PEDV and the genetic diversity of the PEDV S1 gene were also analysed. The results indicated that, of the 543 diarrhoea samples, 66.85% (363/543) were positive for PEDV, and co-infection rates of PEDV with 13 enteric viruses ranged from 3.58% (13/363) to 81.55% (296/363). Among these enteric viruses, the signs of diarrhoea induced by PEDV were potentially associated with co-infections with porcine enterovirus 9/10 (PEV) and torque teno sus virus 2 (TTSuV-2) (p < .05). The 147 PEDV strains identified in our study belong to Chinese pandemic strains and exhibited genetic diversity. The virulence-determining S1 proteins of PEDV pandemic strains were undergoing amino acid mutations, in which S58_S58insQGVN-N135dup-D158_I159del-like mutations were common patterns (97.28%, 143/147). When compared with 2011-2014 PEDV strains, the amino acid mutations of PEDV pandemic strains were mainly located in the N-terminal domain of S1 (S1-NTD), and 21 novel mutations occurred in 2017 and 2018. Furthermore, protein homology modelling showed that the mutations in pattern of insertion and deletion mutations of the S1 protein of PEDV pandemic strains may have caused structural changes on the surface of the S1 protein. These data provide a better understanding of the co-infection and genetic evolution of PEDV in China.														1865-1674	1865-1682	10.1111/tbed.13439																		
J	BCI:BCI202000604339				Torque teno virus was misidentified in meat products from Romania by different methods of detection		Spandole-Dinu, Sonia; Berca, Lavinia Mariana (laviniamariana.berca@gmail.com) ; Adascalului, Marian; Niculae, Oana Mihaela; Nica, Remus; Toma, Mihai; Zoani, Claudia; Radu, Irina; Cimponeriu, Danut									Romanian Biotechnological Letters		2020	MAY-JUN 2020	25	3	1581-1586	1581	1586							Objectives: Torque teno viruses (TTVs) are newly discovered infectious agents, highly prevalent in healthy individuals world-wide, as well as in farm and wild animals. The purpose of this study was detection of human TTVs in meat products.Methods and Results: One hundred sixty meat products were purchased from retailers or Romanian producers, and DNA was extracted. Real-time PCR was used for detection of beef, pork, chicken and turkey DNA. Human TTVs were identified by PCR using sets of primers spanning the translated and untranslated regions in the viral genome. The specificity of the amplicons was checked by sequencing. No specific amplicons were obtained using primers targeting coding regions. Employing primers targeting 5'UTR, TTV and TTMV were detected in a high number of samples; however, the viral origin was not confirmed by sequencing. The sequences obtained were similar to regions from pig, chicken, turkey and bacterial genomes. The primers used in our study may not specifically detect TTVs when food-purified DNA is used as template.Conclusions: Further investigations are needed to determine whether TTVs could be reliable viral markers for foods quality assessment.														1224-5984		10.25083/rbl/25.3/1581.1586																		
J	BCI:BCI202000492321	32402339			Epidemiology and evolutionary analysis of Torque teno sus virus		Li, Gairu; Wang, Ruyi; Cai, Yuchen; Zhang, Junyan; Zhao, Wen; Gao, Qi; Franzo, Giovanni; Su, Shuo (shuosu@njau.edu.cn)									Veterinary Microbiology		2020	MAY 2020	244		Article No.: 108668	108668								Single stranded (ss) DNA viruses are increasingly being discovered due to the ongoing development of modern technologies in exploring the virosphere. Characterized by high rates of recombination and nucleotide substitutions, it could be comparable to RNA virus ones. Torque teno sus virus (TTSuV) is a standard ssDNA virus with a high population diversity, whose evolution is still obscure, further, it is frequently found in co-infections with other viruses threatening the porcine industry and therefore share the same host and epidemiological context. Here, we implement and describe approach to integrate viral nucleotide sequence analysis, surveillance data, and a structural approach to examine the evolution of TTSuVs, we collected samples from pigs displaying respiratory signs in China and revealed a high prevalence of TTSuV1 and TTSuVk2, frequently as part of coinfections with porcine circoviruses (PCVs), especially in spleen and lung. In addition, thirty six strains sequenced were obtained to investigate their genetic diversity in China. The evolutionary history of TTSuVs were unveiled as following: At the nucleotide sequence level, TTSuVs ORF1 was confirmed to be a robust phylogenetic maker to study evolution comparably to full genomes. Additionally, extensive recombination discovered within TTSuVk2a (also 5 out of the 36 sequenced strains in this study revealed to be recombination). Then, pairwise distance, phylogenetic trees, and amino acid analysis confirmed TTSuVs species, and allowed to define circulating genotypes (ITSuV1-1, 1a-2, 1b-1, 1b-2, 1b-3, and k2a-1, k2a-2, k2b). Selection analysis uncovered seven and six positive selected sites in TTSuV1 and TTSuVk2, respectively. At the protein structure level, mapping of sites onto the three-dimensional structure revealed that several positive selected sites locate into potential epitopes, which might related to the potential escaping from host immune response. Our result could assist future studies on swine ssDNA virus classification, surveillance and control.														0378-1135	1873-2542	10.1016/j.vetmic.2020.108668																		
J	BCI:BCI202000467541	32009246			Nationwide prevalence of Torque teno sus virus 1 and k2a in pig populations in Japan		Furukawa, Ayaka; Mitarai, Sumire; Takagi, Mitsuhiro; Yoshida, Yuuhei; Ozawa, Makoto (mozawa@vet.kagoshima-u.ac.jp) ; Taneno, Akira; Deguchi, Eisaburo									Microbiology and Immunology		2020	MAY 2020	64	5										Because broad genetic diversity has recently been detected in Torque teno sus viruses (TTSuV1 and TTSuVk2), the viral genome detection method needs to be improved to understand the prevalence of these viruses. Here, we established single PCR-based detection methods for the TTSuV1 and TTSuVk2a genomes with newly designed primer pairs and applied them to investigate the prevalence of TTSuV1 and TTSuVk2a in Japanese pig populations. The results revealed that 98.2% and 81.7% of the pig farms tested positive for the TTSuV1 and TTSuVk2a genomes, respectively, indicating that both TTSuV1 and TTSuVk2a are widespread in Japan.														0385-5600	1348-0421	10.1111/1348-0421.12779																		
J	BCI:BCI202000467539	32096557			A retrospective study of DNA prevalence of porcine parvoviruses in Mexico and its relationship with porcine circovirus associated disease		Garcia-Camacho, Lucia Angelica (luciangie30@hotmail.com) ; Vargas-Ruiz, Alejandro; Marin-Flamand, Ernesto; Ramirez-Alvarez, Hugo; Brown, Corrie									Microbiology and Immunology		2020	MAY 2020	64	5										Worldwide, many emerging porcine parvoviruses (PPVs) have been linked to porcine circovirus-2 (PCV2) associated disease (PCVAD), which includes post-weaning multi-systemic wasting syndrome (PMWS), PCV2-related reproductive failure (PCV2-RF), as well as other syndromes. To determine the DNA prevalence of PPVs and their relationship with PMWS and PCV2-RF in Mexico, 170 formalin-fixed paraffin-embedded tissues were selected from archival collections to detect PPVs using a nested polymerase chain reaction. The tissues were composed of 50 PMWS cases, 20 age-matched tissues from healthy pigs, 56 PCV2-related reproductive failure (PCV2(+)-RF) cases, and 44 PCV2(-)-RF cases. Overall, PPV2 and PPV6 were the most prevalent species (90.0% and 74.7%, respectively). In 8-11 week old pigs, the highest prevalence was for PPV6 and PPV3. Concerning reproductive failure, the PCV2-affected farms had a significantly higher prevalence for PPV6 (61.6%) and PPV5 (36.4%) than the PCV2-unaffected farms (35.0% and 5.0%, respectively). The concurrent infection rate was high, being significant for PPV2/PPV4 and PPV1/PPV5 within the PMWS cases and for PPV6/PPV5 among the PCV2(+)-RF tissues. PPV5 showed a significant relationship with PMWS, whereas PPV5 and PPV6 were significant for PCVAD. The prevalence and coinfection rate of PPVs in Mexico were markedly higher than that described in other countries, denoting that PPV5 and PPV6 might have a potential role in PCVAD in Mexico. It is concluded that it is likely that the density population of pigs in Mexico is contributing to high PPV inter-species and PCV2 coinfections which might lead to a different pathogenic outcome.			; Ramirez Alvarez, Hugo/G-1077-2017	Vargas Ruiz, Alejandro/0000-0001-7213-4604; Ramirez Alvarez, Hugo/0000-0003-1682-8104; Marin Flamand, Ernesto/0000-0003-1475-8982										0385-5600	1348-0421	10.1111/1348-0421.12782																		
