PT	UT	PM	DT	LT	TI	FT	AU	CA	BA	BE	PN	AE	DG	PC	PL	SO	SE	PY	PD	VL	IS	PS	BP	EP	LA	ME	CT	CL	CY	SP	AB	C1	EM	RI	OI	U1	U2	CR	NR	TC	Z9	PU	PA	SC	SN	EI	DI	BN	MC	CC	TA	DS	CH	GN	SD	GE	TM	MQ	PR	MI	OA	HC	HP	DA	
J	BCI:BCI202000814332	32652063	Article		Bacteroides thetaiotaomicron-Infecting Bacteriophage Isolates Inform Sequence-Based Host Range Predictions		Hryckowian, Andrew J. (hryckowian@medicine.wisc.edu) ; Merrill, Bryan D.; Porter, Nathan T.; Van Treuren, William; Nelson, Eric J.; Garlena, Rebecca A.; Russell, Daniel A.; Martens, Eric C.; Sonnenburg, Justin L. (jsonnenburg@stanford.edu)									Cell Host & Microbe		2020	SEP 9 2020	28	3	371-379	371	379	English						Our emerging view of the gut microbiome largely focuses on bacteria, while less is known about other microbial components, such as bacteriophages (phages). Though phages are abundant in the gut, very few phages have been isolated from this ecosystem. Here, we report the genomes of 27 phages from the United States and Bangladesh that infect the prevalent human gut bacterium Bacteroides thetaiotaomicron. These phages are mostly distinct from previously sequenced phages with the exception of two, which are crAss-like phages. We compare these isolates to existing human gut metagenomes, revealing similarities to previously inferred phages and additional unexplored phage diversity. Finally, we use host tropisms of these phages to identify alleles of phage structural genes associated with infectivity. This work provides a detailed view of the gut's "viral dark matter" and a framework for future efforts to further integrate isolation- and sequencing-focused efforts to understand gut-resident phages.	Hryckowian, Andrew J.; Sonnenburg, Justin L.; Stanford Univ, Sch Med, Dept Microbiol and Immunol, Stanford, CA 94305 USA				2	2		50	1	1			Infectious Diseases; Genetics & Heredity; Gastroenterology & Hepatology	1931-3128	1934-6069	10.1016/j.chom.2020.06.011		Infection; Molecular Genetics (Biochemistry and Molecular Biophysics); Digestive System (Ingestion and Assimilation)	03502, Genetics - General; 10062, Biochemistry studies - Nucleic acids, purines and pyrimidines; 14004, Digestive system - Physiology and biochemistry; 31000, Physiology and biochemistry of bacteria; 31500, Genetics of bacteria and viruses; 33502, Virology - General and methods	Anaerobic Gram-Negative Rods, Eubacteria, Bacteria, Microorganisms; Bacteria, Eubacteria, Microorganisms; Bacteroidaceae [06901]; [Bacteroides thetaiotaomicron; (pathogen; strain-VPI-5482)]/Microorganisms; Microorganisms, Viruses; Viruses [03000]; [Bacteriophage; (host)]	Bacteroides thetaiotaomicron infection; bacterial disease	genes			USA; North America; Nearctic region/Bangladesh; Asia; Oriental region			gut; digestive system					2020-10-14	
J	BCI:BCI202000761377	32772914	Article		Influence of the polar light cycle on seasonal dynamics of an Antarctic lake microbial community		Panwar, Pratibha; Allen, Michelle A.; Williams, Timothy J.; Hancock, Alyce M.; Brazendale, Sarah; Bevington, James; Roux, Simon; Paez-Espino, David; Nayfach, Stephen; Berg, Maureen; Schulz, Frederik; Chen, I-Min A.; Huntemann, Marcel; Shapiro, Nicole; Kyrpides, Nikos C.; Woyke, Tanja; Eloe-Fadrosh, Emiley A.; Cavicchioli, Ricardo (r.cavicchioli@unsw.edu.au)									Microbiome		2020	AUG 9 2020	8	1	Article No.: 116	116		English						Background: Cold environments dominate the Earth's biosphere and microbial activity drives ecosystem processes thereby contributing greatly to global biogeochemical cycles. Polar environments differ to all other cold environments by experiencing 24-h sunlight in summer and no sunlight in winter. The Vestfold Hills in East Antarctica contains hundreds of lakes that have evolved from a marine origin only 3000-7000 years ago. Ace Lake is a meromictic (stratified) lake from this region that has been intensively studied since the 1970s. Here, a total of 120 metagenomes representing a seasonal cycle and four summers spanning a 10-year period were analyzed to determine the effects of the polar light cycle on microbial-driven nutrient cycles.Results: The lake system is characterized by complex sulfur and hydrogen cycling, especially in the anoxic layers, with multiple mechanisms for the breakdown of biopolymers present throughout the water column. The two most abundant taxa are phototrophs (green sulfur bacteria and cyanobacteria) that are highly influenced by the seasonal availability of sunlight. The extent of the Chlorobium biomass thriving at the interface in summer was captured in underwater video footage. The Chlorobium abundance dropped from up to 83% in summer to 6% in winter and 1% in spring, before rebounding to high levels. PredictedChlorobiumviruses and cyanophage were also abundant, but their levels did not negatively correlate with their hosts.Conclusion: Over-wintering expeditions in Antarctica are logistically challenging, meaning insight into winter processes has been inferred from limited data. Here, we found that in contrast to chemolithoautotrophic carbon fixation potential of Southern Ocean Thaumarchaeota, this marine-derived lake evolved a reliance on photosynthesis. While viruses associated with phototrophs also have high seasonal abundance, the negative impact of viral infection on host growth appeared to be limited. The microbial community as a whole appears to have developed a capacity to generate biomass and remineralize nutrients, sufficient to sustain itself between two rounds of sunlight-driven summer-activity. In addition, this unique metagenome dataset provides considerable opportunity for future interrogation of eukaryotes and their viruses, abundant uncharacterized taxa (i.e. dark matter), and for testing hypotheses about endemic species in polar aquatic ecosystems.	Cavicchioli, Ricardo; UNSW Sydney, Sch Biotechnol and Biomol Sci, Sydney, NSW 2052, Australia				9	9		96	0	0			Genetics & Heredity; Meteorology & Atmospheric Sciences; Marine & Freshwater Biology; Environmental Sciences & Ecology	2049-2618	2049-2618	10.1186/s40168-020-00889-8		Molecular Genetics (Biochemistry and Molecular Biophysics); Climatology (Environmental Sciences); Marine Ecology (Ecology, Environmental Sciences)	03502, Genetics - General; 07504, Ecology: environmental biology - Bioclimatology and biometeorology; 07512, Ecology: environmental biology - Oceanography; 10060, Biochemistry studies - General; 31000, Physiology and biochemistry of bacteria; 31500, Genetics of bacteria and viruses	Microorganisms; Bacteria, Eubacteria, Microorganisms; Bacteria [05000]; [Thaumarchaeota]/Green Bacteria, Anoxygenic Phototrophic Bacteria, Eubacteria, Bacteria, Microorganisms; Bacteria, Eubacteria, Microorganisms; Green Sulfur Bacteria [08021]; [Chlorobium]		carbon/hydrogen/sulfur			Antarctic; Antarctic Region		video analysis; laboratory techniques, imaging and microscopy techniques		seasonal dynamics, nutrient cycle, chemolithoautotrophy, summer season, winter season, spring season, metagenome, polar light cycle, biopolymer breakdown	DOAJ Gold, Green Published			2020-10-14	
J	BCI:BCI202000529920	32430017	Article		Temporal transcriptional patterns of cyanophage genes suggest synchronized infection of cyanobacteria in the oceans		Chen, Yue; Zeng, Qinglu (zeng@ust.hk)									Microbiome		2020	MAY 19 2020	8	1	Article No.: 68	68		English						Background Based on the peak expression times during infection, early, middle, and late genes have been characterized in viruses (cyanophages) that infect the unicellular cyanobacterium Prochlorococcus. Laboratory experiments show that some cyanophages can only replicate in the light and thus exhibit diurnal infection rhythms under light-dark cycles. Field evidence also suggests synchronized infection of Prochlorococcus by cyanophages in the oceans, which should result in progressive expression of cyanophage early, middle, and late genes. However, distinct temporal expression patterns have not been observed in cyanophage field populations. Results In this study, we reanalyzed a previous metatranscriptomic dataset collected in the North Pacific Subtropical Gyre. In this dataset, it was previously shown that aggregate transcripts from cyanophage scaffolds display diurnal transcriptional rhythms with transcript abundances decreasing at night. By mapping metatranscriptomic reads to individual viral genes, we identified periodically expressed genes from putative viruses infecting the cyanobacteria Prochlorococcus and Synechococcus, heterotrophic bacteria, and algae. Of the 41 cyanophage genes, 35 were from cyanomyoviruses. We grouped the periodically expressed cyanomyovirus genes into early, middle, and late genes based on the conserved temporal expression patterns of their orthologs in cyanomyovirus laboratory cultures. We found that the peak expression times of late genes in cyanophage field populations were significantly later than those of early and middle genes, which were similar to the temporal expression patterns of synchronized cyanophage laboratory cultures. Conclusions The significantly later peak expression times of late genes in cyanomyovirus field populations suggest that cyanophage infection of Prochlorococcus is synchronized in the North Pacific Subtropical Gyre. The night-time peak expression of late genes also suggests synchronized lysis of Prochlorococcus at night, which might result in synchronized release of dissolved organic matter to the marine food web.	Chen, Yue; Zeng, Qinglu; Hong Kong Univ Sci and Technol, Dept Ocean Sci, Clear Water Bay, Hong Kong, Peoples R China				1	1		51	1	2			Infectious Diseases; Genetics & Heredity; Environmental Sciences & Ecology; Marine & Freshwater Biology	2049-2618	2049-2618	10.1186/s40168-020-00842-9		Infection; Molecular Genetics (Biochemistry and Molecular Biophysics); Marine Ecology (Ecology, Environmental Sciences)	03502, Genetics - General; 03504, Genetics - Plant; 07506, Ecology: environmental biology - Plant; 07512, Ecology: environmental biology - Oceanography; 31000, Physiology and biochemistry of bacteria; 31500, Genetics of bacteria and viruses; 32500, Tissue culture, apparatus, methods and media; 33502, Virology - General and methods	Plantae; Algae, Microorganisms, Nonvascular Plants, Plants; Algae [13000]; [algae]/Microorganisms; Bacteria, Eubacteria, Microorganisms; Bacteria [05000]; [heterotrophic bacteria]/Cyanobacteria, Oxygenic Photosynthetic Bacteria, Eubacteria, Bacteria, Microorganisms; Bacteria, Cyanobacteria, Eubacteria, Microorganisms; Chroococcales [09210]; [Synechococcus]/Oxygenic Photosynthetic Bacteria, Eubacteria, Bacteria, Microorganisms; Bacteria, Eubacteria, Microorganisms; Prochlorales [09300]; [Prochlorococcus]/Microorganisms; Microorganisms, Viruses; Viruses [03000]; [Cyanophage] [Cyanomyovirus]		gene; (expression)/carbon			North Pacific; Pacific Ocean		culture method; laboratory techniques, culturing techniques/metatranscriptome analysis; laboratory techniques, genetic techniques		dissolved organic matter, diurnal rhythm, scaffold, marine food web, temporal transcriptional pattern, peak expression time, synchronized lysis	DOAJ Gold, Green Published			2020-10-14	
J	BCI:BCI202000620663	32430097	Article	Literature Review	The dark side of RNA:DNA hybrids		Brambati, Alessandra (alessandra.brambati@nyulangone.org) ; Zardoni, Luca; Nardini, Eleonora; Pellicioli, Achille; Liberi, Giordano (giordano.liberi@igm.cnr.it)									Mutation Research		2020	APR-JUN 2020	784					English						RNA:DNA hybrids form when nascent transcripts anneal to the DNA template strand or any homologous DNA region. Co-transcriptional RNA:DNA hybrids, organized in R-loop structures together with the displaced non-transcribed strand, assist gene expression, DNA repair and other physiological cellular functions. A dark side of the matter is that RNA:DNA hybrids are also a cause of DNA damage and human diseases.In this review, we summarize recent advances in the understanding of the mechanisms by which the impairment of hybrid turnover promotes DNA damage and genome instability via the interference with DNA replication and DNA double-strand break repair. We also discuss how hybrids could contribute to cancer, neurodegeneration and susceptibility to viral infections, focusing on dysfunctions associated with the anti-R-loop helicase Senataxin. (C) 2020 Elsevier B.V. All rights reserved.	Brambati, Alessandra; Liberi, Giordano; CNR, Ist Genet Mol Luigi Luca Cavalli Sforza, Via Abbiategrasso 207, I-27100 Pavia, Italy		LIBERI, GIORDANO/AAY-7273-2020; BRAMBATI, Alessandra/AAY-8195-2020	LIBERI, GIORDANO/0000-0003-3160-2242; BRAMBATI, Alessandra/0000-0002-3816-425X; Zardoni, Luca/0000-0003-0278-3072	4	4		173	0	0			Genetics & Heredity; Health Care Sciences & Services; General & Internal Medicine	1383-5742	1388-2139	10.1016/j.mrrev.2020.108300		Molecular Genetics (Biochemistry and Molecular Biophysics); Human Medicine (Medical Sciences)	03502, Genetics - General; 03508, Genetics - Human; 10062, Biochemistry studies - Nucleic acids, purines and pyrimidines; 12502, Pathology - General; 36006, Medical and clinical microbiology - Virology	Primates, Mammalia, Vertebrata, Chordata, Animalia; Animals, Chordates, Humans, Mammals, Primates, Vertebrates; Hominidae [86215]; [human]	viral infection; Virus Diseases (MeSH); viral disease	DNA helicase/RNA helicase/genes; (expression)					gene expression analysis; laboratory techniques, genetic techniques		DNA damage, DNA repair, genome instability				2020-10-14	
J	BCI:BCI202000400447	32214384	Article		5 challenges in understanding the role of the virome in health and disease		Wang, David (davewang@wustl.edu)									PLoS Pathogens		2020	MAR 2020	16	3	Article No.: e1008318	e1008318		English							Wang, David; Washington Univ, Sch Med, Dept Mol Microbiol, St Louis, MO 63110 USA				2	2		29	0	0			Infectious Diseases	1553-7366	1553-7374	10.1371/journal.ppat.1008318		Infection	13020, Metabolism - Metabolic disorders; 14006, Digestive system - Pathology; 17008, Endocrine - Pancreas; 33502, Virology - General and methods; 34508, Immunology - Immunopathology, tissue immunology; 36006, Medical and clinical microbiology - Virology	DNA and RNA Reverse Transcribing Viruses, Viruses, Microorganisms; DNA and RNA Reverse Transcribing Viruses, Microorganisms, Viruses; Retroviridae [03305]; [Human immunodeficiency virus; (pathogen)] [Simian immunodeficiency virus; (pathogen)]	malnutrition; Nutrition Disorders (MeSH); nutritional disease/type 1 diabetes mellitus; Diabetes Mellitus, Insulin-Dependent (MeSH); endocrine disease/pancreas, immune system disease, metabolic disease/graft-versus-host disease; GVHD; Graft vs Host Disease (MeSH); immune system disease/inflammatory bowel disease; IBD; Inflammatory Bowel Diseases (MeSH); digestive system disease, immune system disease/Human immunodeficiency virus infection; HIV infection; viral disease, immune system disease/Simian human immunodeficiency virus infection; SHIV infection; viral disease, immune system disease						microbiome analysis; laboratory techniques/virome analysis; laboratory techniques		viral dark matter, virome association	DOAJ Gold, Green Published			2020-10-14	
J	BCI:BCI202000235107	32014111	Article		Discovery of several thousand highly diverse circular DNA viruses		Tisza, Michael J.; Pastrana, Diana V.; Welch, Nicole L.; Stewart, Brittany; Peretti, Alberto; Starrett, Gabriel J.; Pang, Yuk-Ying S.; Krishnamurthy, Siddharth R.; Pesavento, Patricia A.; McDermott, David H.; Murphy, Philip M.; Whited, Jessica L.; Miller, Bess; Brenchley, Jason; Rosshart, Stephan P.; Rehermann, Barbara; Doorbar, John; Ta'ala, Blake A.; Pletnikova, Olga; Troncoso, Juan C.; Resnick, Susan M.; Bolduc, Ben; Sullivan, Matthew B.; Varsani, Arvind; Segall, Anca M.; Buck, Christopher B. (buckc@mail.nih.gov)									eLife		2020	FEB 4 2020	9		Article No.: e51971	e51971		English						Although millions of distinct virus species likely exist, only approximately 9000 are catalogued in GenBank's RefSeq database. We selectively enriched for the genomes of circular DNA viruses in over 70 animal samples, ranging from nematodes to human tissue specimens. A bioinformatics pipeline, Cenote-Taker, was developed to automatically annotate eLife digest When scientists hunt for new DNA sequences, sometimes they get a lot more than they bargained for. Such is the case in metagenomic surveys, which analyze not just DNA of a particular organism, but all the DNA in an environment at large. A vexing problem with these surveys is the overwhelming number of DNA sequences detected that are so different from any known microbe that they cannot be classified using traditional approaches. However, some of these "known unknowns" are undoubtedly viral sequences, because only a fraction of the enormous diversity of viruses has been characterized.This "viral dark matter" is a major obstacle for those studying viruses. This led Tisza et al. to attempt to classify some of the unknown viral sequences in their metagenomic surveys. The search, which specifically focused on viruses with circular DNA genomes, detected over 2,500 circular viral genomes. Intensive analysis revealed that many of these genomes had similar makeup to previously discovered viruses, but hundreds of them were totally different from any known virus, based on typical methods of comparison.Computational analysis of genes that were conserved among some of these brand-new circular sequences often revealed virus-like features. Experiments on a few of these genes showed that they encoded proteins capable of forming particles reminiscent of characteristic viral shells, implying that these new sequences are indeed viruses.Tisza et al. have added the 2,500 newly characterized viral sequences to the publicly accessible GenBank database, and the sequences are being considered for the more authoritative RefSeq database, which currently contains around 9,000 complete viral genomes. The expanded databases will hopefully now better equip scientists to explore the enormous diversity of viruses and help medics and veterinarians to detect disease-causing viruses in humans and other animals.	Buck, Christopher B.; NCI, Lab Cellular Oncol, NIH, Bethesda, MD 20892 USA			Rehermann, Barbara/0000-0001-6832-9951; Pastrana, Diana V./0000-0002-8084-5665; Miller, Bess/0000-0002-9868-5436; Starrett, Gabriel/0000-0001-5871-5306	1	3		101	4	6			Genetics & Heredity; Life Sciences & Biomedicine - Other Topics; Mathematical & Computational Biology	2050-084X	2050-084X	10.7554/eLife.51971		Molecular Genetics (Biochemistry and Molecular Biophysics); Biogeography (Population Studies); Computational Biology	03502, Genetics - General; 03506, Genetics - Animal; 03508, Genetics - Human; 04500, Mathematical biology and statistical methods; 05500, Social biology and human ecology; 07502, Ecology: environmental biology - General and methods; 07508, Ecology: environmental biology - Animal; 10062, Biochemistry studies - Nucleic acids, purines and pyrimidines; 31500, Genetics of bacteria and viruses; 32500, Tissue culture, apparatus, methods and media; 33502, Virology - General and methods; 62800, Animal distribution	Animalia; Animals; Animalia [33000]; [animal; (host)]/Primates, Mammalia, Vertebrata, Chordata, Animalia; Animals, Chordates, Humans, Mammals, Primates, Vertebrates; Hominidae [86215]; [human; (host)]/Microorganisms; Microorganisms, Viruses; Viruses [03000]; [Virus; (pathogen)]		genes/capsid protein/ssRNA; single-stranded RNA/ssDNA/circular DNA		PRJNA393166; NCBI; nucleotide sequence/PRJNA396064; NCBI; nucleotide sequence/PRJNA513058; NCBI; nucleotide sequence/AP012044; GenBank, EMBL, DDJB; nucleotide sequence/AP018536; GenBank, EMBL, DDJB; nucleotide sequence/AXH73946; GenBank, EMBL, DDJB; nucleotide sequence/MH622943; GenBank, EMBL, DDJB; nucleotide sequence			computational analysis; mathematical and computer techniques/cell culture; laboratory techniques, culturing techniques		viral dark matter	DOAJ Gold, Green Published			2020-10-14	
J	BCI:BCI202000065090	31757768	Article		Whole-Virome Analysis Sheds Light on Viral Dark Matter in Inflammatory Bowel Disease		Clooney, Adam G. (adamgclooney@gmail.com) ; Sutton, Thomas D. S.; Shkoporov, Andrey N.; Holohan, Ross K.; Daly, Karen M.; O'Regan, Orla; Ryan, Feargal J.; Draper, Lorraine A.; Plevy, Scott E.; Ross, R. Paul; Hill, Colin (c.hill@ucc.ie)									Cell Host & Microbe		2019	DEC 11 2019	26	6	764-778	764	778	English						The human gut virome is thought to significantly impact the microbiome and human health. However, most virome analyses have been performed on a limited fraction of known viruses. Using whole-virome analysis on a published keystone inflammatory bowel disease (IBD) cohort and an in-house ulcerative colitis dataset, we shed light on the composition of the human gut virome in IBD beyond this identifiable minority. We observe IBD-specific changes to the virome and increased numbers of temperate phage sequences in individuals with Crohn's disease. Unlike prior database-dependent methods, no changes in viral richness were observed. Among IBD subjects, the changes in virome composition reflected alterations in bacterial composition. Furthermore, incorporating both bacteriome and virome composition offered greater classification power between health and disease. This approach to analyzing whole virome across cohorts highlights significant IBD signals, which may be crucial for developing future biomarkers and therapeutics.	Clooney, Adam G.; Hill, Colin; Univ Coll Cork, Sch Microbiol, APC Microbiome Ireland, Cork, Ireland		Shkoporov, Andrey/AAA-3043-2020; Ross, Paul/A-7584-2015; Hill, Colin/A-5611-2012	Ross, Paul/0000-0003-4876-8839; Ryan, Feargal/0000-0002-1565-4598; Hill, Colin/0000-0002-8527-1445	5	17		72	4	9			Immunology; Gastroenterology & Hepatology	1931-3128	1934-6069	10.1016/j.chom.2019.10.009		Clinical Immunology (Human Medicine, Medical Sciences); Gastroenterology (Human Medicine, Medical Sciences)	14004, Digestive system - Physiology and biochemistry; 14006, Digestive system - Pathology; 31000, Physiology and biochemistry of bacteria; 34508, Immunology - Immunopathology, tissue immunology; 36002, Medical and clinical microbiology - Bacteriology	Microorganisms; Bacteria, Eubacteria, Microorganisms; Bacteria [05000]; [bacteria]/Primates, Mammalia, Vertebrata, Chordata, Animalia; Animals, Chordates, Humans, Mammals, Primates, Vertebrates; Hominidae [86215]; [human]	colitis; Colitis (MeSH); digestive system disease/inflammatory bowel disease; Inflammatory Bowel Diseases (MeSH); digestive system disease, immune system disease						whole-virome analysis; laboratory techniques	gut; digestive system					2020-10-14	
J	BCI:BCI202000025336	31736918	Article		Natural Occurrence of Escherichia coli-Infecting Bacteriophages in Clinical Samples		Pacifico, Catia; Hilbert, Miriam; Sofka, Dmitrij; Dinhopl, Nora; Pap, Ildiko-Julia; Aspoeck, Christoph; Carrico, Joao Andre; Hilbert, Friederike (friederike.hilbert@vetmeduni.ac.at)									Frontiers in Microbiology		2019	OCT 31 2019	10		Article No.: 2484	2484		English						The interaction between bacteriophages, bacteria and the human host as a tripartite system has recently captured attention. The taxonomic diversity of bacteriophages, as a natural parasite of bacteria, still remains obscure in human body biomes, representing a so-called "viral dark matter." Here, we isolated and characterized coliphages from blood, urine and tracheal aspirates samples collected at a tertiary care hospital in Austria. Phages were more often isolated from blood, followed by urine and tracheal aspirates. Phylogenetic analysis and genome comparisons allowed the identification of phages belonging to the Tunavirinae subfamily, and to the Peduovirus and Tequintavirus genera. Tunavirinae phages cluster together and are found in samples from 14 patients, suggesting their prevalence across a variety of human samples. When compared with other phage genomes, the highest similarity level was at 87.69% average nucleotide identity (ANI), which suggests that these are in fact a newly isolated phage species. Tequintavirus phages share a 95.90% with phage 3_29, challenging the ANI threshold currently accepted to differentiate phage species. The isolated phages appear to be virulent, with the exception of the Peduovirus members, which are integrative and seem to reside as prophages in bacterial genomes.	Hilbert, Friederike; Univ Vet Med, Inst Food Safety Food Technol and Vet Publ Hlth, Dept Farm Anim and Vet Publ Hlth, Vienna, Austria		Carrico, Joao Andre/A-7367-2008; Pacifico, Catia/AAA-5735-2019	Carrico, Joao Andre/0000-0002-5274-2722; Pacifico, Catia/0000-0002-6278-5777; Hilbert, Friederike/0000-0003-1335-6770	2	4		68	1	1			Infectious Diseases; Genetics & Heredity	1664-302X	1664-302X	10.3389/fmicb.2019.02484		Infection; Molecular Genetics (Biochemistry and Molecular Biophysics)	03502, Genetics - General; 03508, Genetics - Human; 15002, Blood - Blood and lymph studies; 15004, Blood - Blood cell studies; 15504, Urinary system - Physiology and biochemistry; 16004, Respiratory system - Physiology and biochemistry; 31000, Physiology and biochemistry of bacteria; 31500, Genetics of bacteria and viruses; 33502, Virology - General and methods	Facultatively Anaerobic Gram-Negative Rods, Eubacteria, Bacteria, Microorganisms; Bacteria, Eubacteria, Microorganisms; Enterobacteriaceae [06702]; [Escherichia coli; (pathogen)]/Primates, Mammalia, Vertebrata, Chordata, Animalia; Animals, Chordates, Humans, Mammals, Primates, Vertebrates; Hominidae [86215]; [human; (host)]/Microorganisms; Microorganisms, Viruses; Viruses [03000]; [Bacteriophage] [Tunavirinae] [Peduovirus] [Tequintavirus]					Austria; Europe; Palearctic region		phylogenetic analysis; laboratory techniques, genetic techniques/genome sequencing; laboratory techniques, genetic techniques	blood; blood and lymphatics/urine; excretory system/trachea; respiratory system	average nucleotide identity, phage genome	DOAJ Gold, Green Published			2020-10-14	
J	BCI:BCI201900934847	31255903	Article		What is (not) known about the dynamics of the human gut virome in health and disease		Beller, Leen; Matthijnssens, Jelle									Current Opinion in Virology		2019	AUG 2019	37		52-57	52	57	English						The human gut virome has an important role in human health but its dynamics remain poorly understood. Few longitudinal studies in healthy adults showed a stable temporal gut virome, with high inter-individual diversity. In contrast, the infant virome shows a high temporal intra-individual diversity. Unfortunately, these virome studies ignore an enormous amount of unknown 'dark matter' sequences, leading to incomplete analyses and possibly incorrect conclusions. Also, the interactions between prokaryotes and bacteriophages in the gut seem to be too complex for currently available models. Therefore, there is a huge need of larger longitudinal cohort studies focusing on both the bacterial and viral component of the microbiome to be able to describe and understand this complex ecosystem.	Beller, Leen; Katholieke Univ Leuven, Dept Microbiol Immunol and Transplantat, Lab Viral Metagenom, Leuven, Belgium				2	9		49	4	6			Environmental Sciences & Ecology; Gastroenterology & Hepatology	1879-6257		10.1016/j.coviro.2019.05.013		Terrestrial Ecology (Ecology, Environmental Sciences); Digestive System (Ingestion and Assimilation)	07502, Ecology: environmental biology - General and methods; 14004, Digestive system - Physiology and biochemistry; 33502, Virology - General and methods	ssDNA Viruses, Viruses, Microorganisms; Single-Stranded DNA Viruses, Microorganisms, Viruses; Circoviridae [03204]; [Circoviridae]/Primates, Mammalia, Vertebrata, Chordata, Animalia; Animals, Chordates, Humans, Mammals, Primates, Vertebrates; Hominidae [86215]; [human]/Microorganisms; Microorganisms; Microorganisms [01000]; [prokaryote]								gut; digestive system	inter-individual diversity, viral component, virome study				2020-10-14	
J	BCI:BCI201900783017	31252683	Article	Literature Review	Phages and Human Health: More Than Idle Hitchhikers		Lawrence, Dylan; Baldridge, Megan T. (mbaldridge@wustl.edu) ; Handley, Scott A. (shandley@wustl.edu)									Viruses-Basel		2019	JUL 2019	11	7	Article No.: 587	587		English						Bacteriophages, or phages, are viruses that infect bacteria and archaea. Phages have diverse morphologies and can be coded in DNA or RNA and as single or double strands with a large range of genome sizes. With the increasing use of metagenomic sequencing approaches to analyze complex samples, many studies generate massive amounts of "viral dark matter", or sequences of viral origin unable to be classified either functionally or taxonomically. Metagenomic analysis of phages is still in its infancy, and uncovering novel phages continues to be a challenge. Work over the past two decades has begun to uncover key roles for phages in different environments, including the human gut. Recent studies in humans have identified expanded phage populations in both healthy infants and in inflammatory bowel disease patients, suggesting distinct phage activity during development and in specific disease states. In this review, we examine our current knowledge of phage biology and discuss recent efforts to improve the analysis and discovery of novel phages. We explore the roles phages may play in human health and disease and discuss the future of phage research.	Lawrence, Dylan; Baldridge, Megan T.; Handley, Scott A.; Washington Univ, Sch Med, Dept Med, Div Infect Dis, St Louis, MO 63110 USA		Baldridge, Megan/T-7274-2019	Baldridge, Megan/0000-0002-7030-6131; Lawrence, Dylan/0000-0001-6919-8308	2	5		90	5	6			Infectious Diseases; Genetics & Heredity		1999-4915	10.3390/v11070587		Infection; Molecular Genetics (Biochemistry and Molecular Biophysics)	03502, Genetics - General; 03508, Genetics - Human; 10062, Biochemistry studies - Nucleic acids, purines and pyrimidines; 14006, Digestive system - Pathology; 31000, Physiology and biochemistry of bacteria; 31500, Genetics of bacteria and viruses; 33502, Virology - General and methods; 34508, Immunology - Immunopathology, tissue immunology	Bacteria, Microorganisms; Archaeobacteria, Bacteria, Microorganisms; Archaeobacteria [09400]; [archaea]/Microorganisms; Bacteria, Eubacteria, Microorganisms; Bacteria [05000]; [bacteria]/Primates, Mammalia, Vertebrata, Chordata, Animalia; Animals, Chordates, Humans, Mammals, Primates, Vertebrates; Hominidae [86215]; [human]/Microorganisms; Microorganisms, Viruses; Viruses [03000]; [Phage; Bacteriophage] [Bacteriophage]	inflammatory bowel disease; IBD; Inflammatory Bowel Diseases (MeSH); digestive system disease, immune system disease	DNA/RNA					metagenomic sequencing; laboratory techniques, genetic techniques		genome size	DOAJ Gold, Green Published			2020-10-14	
